AAPL R735QTJ8XC9X,AAPL,541.72,6402390,3468302710,True,0.9253111,0.142857
AIG R735QTJ8XC9X,AIG,49.97,7036977,351637740,True,0.9331262,1
BNO UN3IMQ2JU1YD,BNO,42.06,4964,208785,False,1,1
EEM SNQLASP67O85,EEM,41.47,51297480,2127306495,False,0.9185035,1
FB V6OIPNZEM8V9,FB,62.63,56458951,3536024101,False,1,1
GOOAV VP83T1ZUHROL,GOOAV,568,9813,5573784,False,1,1
GOOCV VP83T1ZUHROL,GOOCV,567.16,7867,4461847,False,1,0.997307
GOOG T1AZ164W5VTX,GOOG,1135.32,2066630,2346286371,True,1,0.5
IBM R735QTJ8XC9X,IBM,194.49,5166424,1004817803,True,0.8633314,1
IWM RV0PWMLXVHPH,IWM,117.92,43696842,5152731608,False,0.945197,1
NB R735QTJ8XC9X,BAC,17.35,53952000,936067200,True,0.9430915,1
QQQ RIWIV7K5Z9LX,QQQ,89.2,32086786,2862141311,False,0.9601842,1
SPY R735QTJ8XC9X,SPY,188.26,78350189,14750206581,False,0.9229577,1
USO THORT68ZZSYT,USO,35.82,4336271,155325227,False,1,1
UW R735QTJ8XC9X,WM,41.93,1858334,77919944,False,0.897608,1
