AAPL R735QTJ8XC9X,AAPL,537.43,7525058,4044191920,True,0.9253111,0.142857
AIG R735QTJ8XC9X,AIG,49.4,8408999,415404550,True,0.9331262,1
BNO UN3IMQ2JU1YD,BNO,43.05,5258,226356,False,1,1
EEM SNQLASP67O85,EEM,40.44,64176822,2595310681,False,0.9185035,1
FB V6OIPNZEM8V9,FB,60.95,110008113,6704994487,False,1,1
GOOAV VP83T1ZUHROL,GOOAV,557.5,33464,18656180,False,1,1
GOOCV VP83T1ZUHROL,GOOCV,557.03,12867,7167305,False,1,0.997307
GOOG T1AZ164W5VTX,GOOG,1114.28,3636784,4052395675,False,1,0.5
IBM R735QTJ8XC9X,IBM,189.83,6328268,1201295114,True,0.8633314,1
IWM RV0PWMLXVHPH,IWM,114.36,57604567,6587658282,False,0.945197,1
NB R735QTJ8XC9X,BAC,17,151113595,2568931115,True,0.9430915,1
QQQ RIWIV7K5Z9LX,QQQ,86.87,61956289,5382142825,False,0.9601842,1
SPY R735QTJ8XC9X,SPY,184.61,127839212,23600396927,False,0.9229577,1
USO THORT68ZZSYT,USO,36.52,1868398,68233894,False,1,1
UW R735QTJ8XC9X,WM,40.9,1655608,67714367,False,0.897608,1
